degree,coef0,gamma,cost,nu,dev
1,0,0.05,64,0.1,0.293953616157354
4,0,0.05,1,0.1,-0.126772179481436
2,0,0.05,32,0.1,0.3754090610175
4,0,0.05,0.5,0.1,-0.136593095247202
4,0,0.05,0.25,0.1,-0.142347760507821
3,0,0.05,16,0.1,0.191313951019754
4,0,0.05,2,0.1,-0.119251980963221
4,0,0.05,4,0.1,-0.096620305744489
4,0,0.05,8,0.1,-0.0647708514400021
5,0,0.05,1,0.1,-0.140341765536131
5,0,0.05,2,0.1,-0.135901103291483
5,0,0.05,0.25,0.1,-0.146665410315909
5,0,0.05,0.5,0.1,-0.144275435204527
3,0,0.05,32,0.1,0.285972087820699
4,0,0.05,16,0.1,-0.0150116936791445
2,0,0.05,64,0.1,0.38016120247991
5,0,0.05,4,0.1,-0.126411460783036
5,0,0.05,8,0.1,-0.115500402439662
1,2.5,0.05,1,0.1,0.208730241781539
1,0,0.05,128,0.1,0.294316094514786
1,2.5,0.05,2,0.1,0.247743440155846
1,2.5,0.05,0.25,0.1,0.0494918984908888
1,2.5,0.05,0.5,0.1,0.128921457177185
5,0,0.05,16,0.1,-0.0933868326692666
4,0,0.05,32,0.1,0.0601071462567887
1,2.5,0.05,4,0.1,0.281581586797601
1,2.5,0.05,8,0.1,0.288989871332615
2,2.5,0.05,1,0.1,0.301358712849256
2,2.5,0.05,0.25,0.1,0.236849010880248
3,0,0.05,64,0.1,0.352723452387487
2,2.5,0.05,0.5,0.1,0.271384384244819
2,2.5,0.05,2,0.1,0.324740531529021
1,2.5,0.05,16,0.1,0.293782640667476
5,0,0.05,32,0.1,-0.0681138223112026
2,2.5,0.05,4,0.1,0.358123962427145
3,2.5,0.05,0.25,0.1,0.321249543087362
3,2.5,0.05,1,0.1,0.387389206405519
3,2.5,0.05,0.5,0.1,0.350281706683417
4,0,0.05,64,0.1,0.179490327996362
2,0,0.05,128,0.1,0.381379757105556
2,2.5,0.05,8,0.1,0.389991451996995
1,2.5,0.05,32,0.1,0.294434281158975
3,2.5,0.05,2,0.1,0.404479561053537
5,0,0.05,64,0.1,-0.0251566698686068
4,2.5,0.05,0.25,0.1,0.406033675717145
2,2.5,0.05,16,0.1,0.40358747018302
4,2.5,0.05,0.5,0.1,0.408471718349084
3,0,0.05,128,0.1,0.402246867602778
3,2.5,0.05,4,0.1,0.400229836587991
1,2.5,0.05,64,0.1,0.294328560995833
4,2.5,0.05,1,0.1,0.40323808653345
4,0,0.05,128,0.1,0.271771688562828
5,2.5,0.05,0.25,0.1,0.405812354849008
1,5,0.05,0.25,0.1,0.0494790413646418
5,0,0.05,128,0.1,0.0450408337686985
3,2.5,0.05,8,0.1,0.386403127485849
2,2.5,0.05,32,0.1,0.402435690286015
2,5,0.05,0.25,0.1,0.268374976387584
4,2.5,0.05,2,0.1,0.403553621107461
3,5,0.05,0.25,0.1,0.348709502354777
5,2.5,0.05,0.5,0.1,0.405166971707974
1,2.5,0.05,128,0.1,0.294329545348524
1,5,0.05,0.5,0.1,0.129020735819052
2,5,0.05,0.5,0.1,0.294741671513656
4,5,0.05,0.25,0.1,0.399012864804645
3,5,0.05,0.5,0.1,0.386209566460656
3,2.5,0.05,16,0.1,0.395114748594991
2,2.5,0.05,64,0.1,0.395581272872974
4,2.5,0.05,4,0.1,0.410906928260308
5,2.5,0.05,1,0.1,0.398455627658222
1,5,0.05,1,0.1,0.208634925288028
2,5,0.05,1,0.1,0.310145268507138
3,5,0.05,1,0.1,0.403242996488753
4,5,0.05,0.5,0.1,0.387152598253279
2,2.5,0.05,128,0.1,0.391346524784777
3,2.5,0.05,32,0.1,0.413292023538131
4,2.5,0.05,8,0.1,0.408289084041201
5,2.5,0.05,2,0.1,0.391225334700485
1,5,0.05,2,0.1,0.24772512509251
2,5,0.05,2,0.1,0.325773843590275
4,5,0.05,1,0.1,0.407677483763843
3,5,0.05,2,0.1,0.393815675449311
5,5,0.05,0.25,0.1,0.408066938040774
1,-5,0.1,0.25,0.1,0.128933438435622
2,-5,0.1,0.25,0.1,-5.02468824273115
3,-5,0.1,0.25,0.1,-4.159526022521
4,-5,0.1,0.25,0.1,-7.25572891076864
5,-5,0.1,0.25,0.1,-7.62216004744649
1,-2.5,0.1,0.25,0.1,0.128956365355868
2,-2.5,0.1,0.25,0.1,-4.60659625235745
3,-2.5,0.1,0.25,0.1,-3.65956984482914
4,-2.5,0.1,0.25,0.1,-5.97511181804974
5,-2.5,0.1,0.25,0.1,-6.00498260985247
1,0,0.1,0.25,0.1,0.128942089676442
2,0,0.1,0.25,0.1,0.00265699964716648
3,0,0.1,0.25,0.1,-0.0526743518735813
4,0,0.1,0.25,0.1,-0.096620305744489
5,0,0.1,0.25,0.1,-0.115500402439662
1,2.5,0.1,0.25,0.1,0.128959730321287
2,2.5,0.1,0.25,0.1,0.282067263704091
3,2.5,0.1,0.25,0.1,0.397575950089944
4,2.5,0.1,0.25,0.1,0.407835950997301
4,2.5,0.05,16,0.1,0.402121633062286
5,2.5,0.05,4,0.1,0.41010778685753
1,5,0.05,4,0.1,0.281639341523493
3,2.5,0.05,64,0.1,0.415226164569537
2,5,0.05,4,0.1,0.359406903659207
5,2.5,0.1,0.25,0.1,0.393629727737754
1,5,0.1,0.25,0.1,0.128921457177185
4,5,0.05,2,0.1,0.407165043436306
2,5,0.1,0.25,0.1,0.301358712849256
3,5,0.1,0.25,0.1,0.404479561053537
3,5,0.05,4,0.1,0.389250236724718
4,5,0.1,0.25,0.1,0.410906928260308
5,5,0.05,0.5,0.1,0.406175453253137
1,-5,0.1,0.5,0.1,0.208730257874162
2,-5,0.1,0.5,0.1,-5.43379616592723
3,-5,0.1,0.5,0.1,-4.69346740413388
4,-5,0.1,0.5,0.1,-7.65652538246148
5,-5,0.1,0.5,0.1,-8.17651155996149
1,-2.5,0.1,0.5,0.1,0.208632745583813
2,-2.5,0.1,0.5,0.1,-5.00940474756594
3,-2.5,0.1,0.5,0.1,-3.83724331843015
4,-2.5,0.1,0.5,0.1,-6.36653446281827
5,-2.5,0.1,0.5,0.1,-4.56230962092323
1,0,0.1,0.5,0.1,0.208700456796779
2,0,0.1,0.5,0.1,0.0806160937358399
3,0,0.1,0.5,0.1,-0.000694640051760453
4,0,0.1,0.5,0.1,-0.0647708514400021
5,0,0.1,0.5,0.1,-0.0933868326692666
1,2.5,0.1,0.5,0.1,0.208739092322913
2,2.5,0.1,0.5,0.1,0.317848839573085
3,2.5,0.1,0.5,0.1,0.410056136444473
4,2.5,0.1,0.5,0.1,0.406992718400191
5,2.5,0.1,0.5,0.1,0.416415746444406
1,5,0.1,0.5,0.1,0.208730241781539
3,2.5,0.05,128,0.1,0.404203053349926
2,5,0.1,0.5,0.1,0.324740531529021
3,5,0.1,0.5,0.1,0.400229836587991
4,2.5,0.05,32,0.1,0.413774011423557
5,2.5,0.05,8,0.1,0.413664336992169
1,5,0.05,8,0.1,0.289090444025353
4,5,0.1,0.5,0.1,0.408289084041201
2,5,0.05,8,0.1,0.39068668716364
4,5,0.05,4,0.1,0.408969253120398
3,5,0.05,8,0.1,0.386295599545524
5,5,0.05,1,0.1,0.406997196506448
1,-5,0.1,1,0.1,0.247766101436682
2,-5,0.1,1,0.1,-5.84655123014618
3,-5,0.1,1,0.1,-5.25907837891769
4,-5,0.1,1,0.1,-8.05727868911139
5,5,0.1,0.25,0.1,0.413664336992169
5,-5,0.1,1,0.1,-8.71871709313301
1,-5,0.15,0.25,0.1,0.176966265558357
1,-2.5,0.1,1,0.1,0.247588943181708
2,-5,0.15,0.25,0.1,-5.25897251039835
2,-2.5,0.1,1,0.1,-5.41553975556109
3,-5,0.15,0.25,0.1,-4.7832709292901
3,-2.5,0.1,1,0.1,-4.03039100328546
4,-5,0.15,0.25,0.1,-7.44902167374574
4,-2.5,0.1,1,0.1,-6.75805673724045
5,-5,0.15,0.25,0.1,-8.28082110337708
5,-2.5,0.1,1,0.1,-4.72214959686863
1,-2.5,0.15,0.25,0.1,0.176966530304619
1,0,0.1,1,0.1,0.247668983793402
2,-2.5,0.15,0.25,0.1,-4.82088466907825
2,0,0.1,1,0.1,0.204195496143281
3,-2.5,0.15,0.25,0.1,-3.86991201578772
3,0,0.1,1,0.1,0.0774397083004064
4,-2.5,0.15,0.25,0.1,-6.13236352395946
4,0,0.1,1,0.1,-0.0150116936791445
5,-2.5,0.15,0.25,0.1,-5.65108732454963
5,0,0.1,1,0.1,-0.0681138223112026
1,0,0.15,0.25,0.1,0.177014997500354
1,2.5,0.1,1,0.1,0.247807437418995
2,0,0.15,0.25,0.1,0.0998973975758396
2,2.5,0.1,1,0.1,0.357411766298161
3,0,0.15,0.25,0.1,0.0534820151719159
4,0,0.15,0.25,0.1,0.00997015522723643
3,2.5,0.1,1,0.1,0.403706272266534
5,0,0.15,0.25,0.1,-0.0302723606120281
1,2.5,0.15,0.25,0.1,0.177003664873699
2,2.5,0.15,0.25,0.1,0.322958873152513
3,2.5,0.15,0.25,0.1,0.411867070047484
4,2.5,0.1,1,0.1,0.400011782068226
4,2.5,0.15,0.25,0.1,0.398533844080842
5,2.5,0.15,0.25,0.1,0.427576986044202
1,5,0.15,0.25,0.1,0.176876146519141
2,5,0.15,0.25,0.1,0.328210032834637
3,5,0.15,0.25,0.1,0.402205580168717
5,2.5,0.1,1,0.1,0.423057725578922
1,5,0.1,1,0.1,0.247743440155846
2,5,0.1,1,0.1,0.358123962427145
3,5,0.1,1,0.1,0.386403127485849
4,5,0.15,0.25,0.1,0.392631571000967
5,2.5,0.05,16,0.1,0.406543257592534
1,5,0.05,16,0.1,0.293899520052052
2,5,0.05,16,0.1,0.403043742105722
4,2.5,0.05,64,0.1,0.413126705834468
3,5,0.05,16,0.1,0.395698078408056
4,5,0.1,1,0.1,0.402121633062286
4,5,0.05,8,0.1,0.407771943175001
5,5,0.05,2,0.1,0.412297265927484
1,-5,0.1,2,0.1,0.281632108401129
2,-5,0.1,2,0.1,-6.25960086512364
3,-5,0.1,2,0.1,-5.80773059152329
4,-5,0.1,2,0.1,-8.45800763413884
5,-5,0.1,2,0.1,-8.01764991009958
1,-2.5,0.1,2,0.1,0.281691676021148
2,-2.5,0.1,2,0.1,-5.81831075552305
3,-2.5,0.1,2,0.1,-5.2370633091822
4,-2.5,0.1,2,0.1,-7.149591658294
5,5,0.1,0.5,0.1,0.406543257592534
5,-2.5,0.1,2,0.1,-4.88745869592601
1,-5,0.15,0.5,0.1,0.233756751307989
1,0,0.1,2,0.1,0.281591201775086
2,-5,0.15,0.5,0.1,-5.66656967741376
2,0,0.1,2,0.1,0.326363677615122
3,-5,0.15,0.5,0.1,-5.33372172959
3,0,0.1,2,0.1,0.191313951019754
4,-5,0.15,0.5,0.1,-7.84578807676625
4,0,0.1,2,0.1,0.0601071462567887
5,-5,0.15,0.5,0.1,-8.82737967844523
5,0,0.1,2,0.1,-0.0251566698686068
1,-2.5,0.15,0.5,0.1,0.233757690803345
1,2.5,0.1,2,0.1,0.281638179445796
2,-2.5,0.15,0.5,0.1,-5.22782756414481
3,-2.5,0.15,0.5,0.1,-4.03940184289889
2,2.5,0.1,2,0.1,0.386412806187578
4,-2.5,0.15,0.5,0.1,-6.50829956095292
5,-2.5,0.15,0.5,0.1,-6.07006450274751
1,0,0.15,0.5,0.1,0.233760650852532
2,0,0.15,0.5,0.1,0.223834995013615
3,2.5,0.1,2,0.1,0.394352064056967
3,0,0.15,0.5,0.1,0.167536264935621
4,0,0.15,0.5,0.1,0.0961653353247582
5,0,0.15,0.5,0.1,0.039299651703823
1,2.5,0.15,0.5,0.1,0.233726157784728
2,2.5,0.15,0.5,0.1,0.365834197769938
3,2.5,0.15,0.5,0.1,0.408346607162527
4,2.5,0.15,0.5,0.1,0.397016423055976
4,2.5,0.1,2,0.1,0.394619551678407
5,2.5,0.15,0.5,0.1,0.429467286275077
1,5,0.15,0.5,0.1,0.233655207054767
2,5,0.15,0.5,0.1,0.364426911127163
3,5,0.15,0.5,0.1,0.388920570185765
5,2.5,0.1,2,0.1,0.421691443996014
1,5,0.1,2,0.1,0.281581586797601
2,5,0.1,2,0.1,0.389991451996995
4,2.5,0.05,128,0.1,0.400481236584861
3,5,0.1,2,0.1,0.395114748594991
4,5,0.15,0.5,0.1,0.409229400844152
5,5,0.15,0.25,0.1,0.410008069556483
1,-5,0.2,0.25,0.1,0.208632745583813
2,-5,0.2,0.25,0.1,-5.41553975556109
3,-5,0.2,0.25,0.1,-5.2370633091822
5,2.5,0.05,32,0.1,0.405150893724582
4,-5,0.2,0.25,0.1,-7.54111828620268
1,5,0.05,32,0.1,0.294605514590797
5,-5,0.2,0.25,0.1,-5.21834755960407
1,-2.5,0.2,0.25,0.1,0.208782481504728
2,-2.5,0.2,0.25,0.1,-4.96646730935719
3,-2.5,0.2,0.25,0.1,-4.0137643926377
4,-2.5,0.2,0.25,0.1,-6.19702906892298
5,-2.5,0.2,0.25,0.1,-7.09523605819189
1,0,0.2,0.25,0.1,0.208700456796779
2,0,0.2,0.25,0.1,0.204195496143281
3,0,0.2,0.25,0.1,0.191313951019754
2,5,0.05,32,0.1,0.402332334595444
4,0,0.2,0.25,0.1,0.179490327996362
5,0,0.2,0.25,0.1,0.133140195613797
1,2.5,0.2,0.25,0.1,0.208782390906684
2,2.5,0.2,0.25,0.1,0.357151276793663
3,2.5,0.2,0.25,0.1,0.412436740543176
4,2.5,0.2,0.25,0.1,0.407392899744903
5,5,0.05,4,0.1,0.390506265694387
1,-5,0.1,4,0.1,0.289054915854208
2,-5,0.1,4,0.1,-6.66939074815705
3,-5,0.1,4,0.1,-6.34925507860316
4,-5,0.1,4,0.1,-8.85872379399172
5,-5,0.1,4,0.1,-8.46334669106244
1,-2.5,0.1,4,0.1,0.289690314528156
2,-2.5,0.1,4,0.1,-6.22356578305432
3,-2.5,0.1,4,0.1,-5.76517060089204
4,-2.5,0.1,4,0.1,-7.54111828620268
4,5,0.1,2,0.1,0.413774011423557
5,-2.5,0.1,4,0.1,-5.05287435898193
1,0,0.1,4,0.1,0.288503584421093
5,2.5,0.2,0.25,0.1,0.423828077392176
1,5,0.2,0.25,0.1,0.208739092322913
2,0,0.1,4,0.1,0.366677775477922
2,5,0.2,0.25,0.1,0.357411766298161
3,0,0.1,4,0.1,0.285972087820699
4,0,0.1,4,0.1,0.179490327996362
3,5,0.05,32,0.1,0.410683959841728
5,0,0.1,4,0.1,0.0450408337686985
3,5,0.2,0.25,0.1,0.394352064056967
1,2.5,0.1,4,0.1,0.288936771848239
2,2.5,0.1,4,0.1,0.405010244113725
3,2.5,0.1,4,0.1,0.41188730985928
4,5,0.05,16,0.1,0.419959361205629
4,5,0.2,0.25,0.1,0.414403442193888
4,2.5,0.1,4,0.1,0.414403442193888
5,5,0.1,1,0.1,0.405150893724582
1,-5,0.15,1,0.1,0.273824738711518
2,-5,0.15,1,0.1,-6.07278853560697
3,-5,0.15,1,0.1,-5.87936919819421
4,-5,0.15,1,0.1,-8.24255228774226
5,-5,0.15,1,0.1,-9.37650495971389
1,-2.5,0.15,1,0.1,0.27392442308134
2,-2.5,0.15,1,0.1,-5.62966589851097
3,-2.5,0.15,1,0.1,-5.33340239837365
4,-2.5,0.15,1,0.1,-6.88446392361733
5,-2.5,0.15,1,0.1,-6.49190871002117
1,0,0.15,1,0.1,0.274037932237958
2,0,0.15,1,0.1,0.332318311838093
3,0,0.15,1,0.1,0.266781689278157
4,0,0.15,1,0.1,0.215365586023762
5,0,0.15,1,0.1,0.126395703478358
1,2.5,0.15,1,0.1,0.274066479450758
2,2.5,0.15,1,0.1,0.391148567225739
3,2.5,0.15,1,0.1,0.405849792971199
4,2.5,0.15,1,0.1,0.408504704695933
5,5,0.05,8,0.1,0.345732621943855
1,-5,0.1,8,0.1,0.29389990068146
2,-5,0.1,8,0.1,-7.0792371442987
3,-5,0.1,8,0.1,-6.90061329030326
5,2.5,0.1,4,0.1,0.417564147598421
4,-5,0.1,8,0.1,-9.2594334217946
5,-5,0.1,8,0.1,-8.90904507639287
1,5,0.1,4,0.1,0.288989871332615
1,-2.5,0.1,8,0.1,0.293954441663295
2,-2.5,0.1,8,0.1,-6.62762399132504
2,5,0.1,4,0.1,0.40358747018302
3,-2.5,0.1,8,0.1,-6.33519038305126
4,-2.5,0.1,8,0.1,-7.93263642961909
5,-2.5,0.1,8,0.1,-5.21834755960407
1,0,0.1,8,0.1,0.294143706187254
2,0,0.1,8,0.1,0.3754090610175
3,0,0.1,8,0.1,0.352723452387487
5,2.5,0.05,64,0.1,0.395683575179353
4,0,0.1,8,0.1,0.271771688562828
5,0,0.1,8,0.1,0.133140195613797
1,5,0.05,64,0.1,0.294797910997714
1,2.5,0.1,8,0.1,0.294100306944062
2,2.5,0.1,8,0.1,0.401690474502146
3,5,0.1,4,0.1,0.413292023538131
2,5,0.05,64,0.1,0.395965558773798
3,2.5,0.1,8,0.1,0.414918814416139
5,2.5,0.15,1,0.1,0.427539601191578
1,5,0.15,1,0.1,0.273815309404115
2,5,0.15,1,0.1,0.393229251718279
5,5,0.15,0.5,0.1,0.406464215320662
1,-5,0.2,0.5,0.1,0.247588943181708
2,-5,0.2,0.5,0.1,-5.81831075552305
3,-5,0.2,0.5,0.1,-5.76517060089204
4,-5,0.2,0.5,0.1,-7.93263642961909
5,-5,0.2,0.5,0.1,-5.39012941847896
3,5,0.15,1,0.1,0.408830430001994
1,-2.5,0.2,0.5,0.1,0.247674244878454
2,-2.5,0.2,0.5,0.1,-5.36359325144585
3,-2.5,0.2,0.5,0.1,-4.57681133502716
4,-2.5,0.2,0.5,0.1,-6.5660137213043
5,-2.5,0.2,0.5,0.1,-7.77595092710973
1,0,0.2,0.5,0.1,0.247668983793402
2,0,0.2,0.5,0.1,0.326363677615122
3,0,0.2,0.5,0.1,0.285972087820699
4,0,0.2,0.5,0.1,0.271771688562828
5,0,0.2,0.5,0.1,0.215524898062044
1,2.5,0.2,0.5,0.1,0.247892235980824
2,2.5,0.2,0.5,0.1,0.385204571537756
3,2.5,0.2,0.5,0.1,0.413520333812453
4,2.5,0.2,0.5,0.1,0.421272493997259
4,2.5,0.1,8,0.1,0.418861923622729
4,5,0.05,32,0.1,0.391254996915992
4,5,0.15,1,0.1,0.416711662515468
5,2.5,0.2,0.5,0.1,0.422380439432105
1,5,0.2,0.5,0.1,0.247807437418995
2,5,0.2,0.5,0.1,0.386412806187578
3,5,0.2,0.5,0.1,0.41188730985928
3,5,0.05,64,0.1,0.419123383021312
5,5,0.1,2,0.1,0.395683575179353
1,-5,0.15,2,0.1,0.283477068323044
2,-5,0.15,2,0.1,-6.47928169840404
3,-5,0.15,2,0.1,-6.42554693149152
4,-5,0.15,2,0.1,-8.6393152701781
5,-5,0.15,2,0.1,-9.925694846171
1,-2.5,0.15,2,0.1,0.283278577773313
5,5,0.2,0.25,0.1,0.404222632821448
2,-2.5,0.15,2,0.1,-6.02663930413027
1,-5,0.25,0.25,0.1,0.222505835306778
3,-2.5,0.15,2,0.1,-5.88270199251413
2,-5,0.25,0.25,0.1,-5.53012130782675
4,-2.5,0.15,2,0.1,-7.26074437113938
3,-5,0.25,0.25,0.1,-5.58885219040136
5,-2.5,0.15,2,0.1,-6.91216321280362
4,-5,0.25,0.25,0.1,-7.59408274821569
1,0,0.15,2,0.1,0.283238948303679
5,-5,0.25,0.25,0.1,-9.02256427725333
2,0,0.15,2,0.1,0.368904584840375
1,-2.5,0.25,0.25,0.1,0.222569640137907
2,-2.5,0.25,0.25,0.1,-5.06644800907891
3,0,0.15,2,0.1,0.337155460837562
3,-2.5,0.25,0.25,0.1,-4.10434308141237
4,0,0.15,2,0.1,0.28968098654807
4,-2.5,0.25,0.25,0.1,-6.23214061296499
5,-2.5,0.25,0.25,0.1,-7.6683678559503
5,0,0.15,2,0.1,0.21033415766523
1,0,0.25,0.25,0.1,0.222508303660865
1,2.5,0.15,2,0.1,0.28324768678259
2,0,0.25,0.25,0.1,0.290681324987001
3,0,0.25,0.25,0.1,0.282751166957686
2,2.5,0.15,2,0.1,0.406982979469237
4,0,0.25,0.25,0.1,0.288329504211158
5,0,0.25,0.25,0.1,0.262549598092747
1,2.5,0.25,0.25,0.1,0.222499778293456
2,2.5,0.25,0.25,0.1,0.378941846212173
3,2.5,0.15,2,0.1,0.415948509117475
3,2.5,0.25,0.25,0.1,0.416747444281759
4,5,0.2,0.5,0.1,0.418861923622729
4,2.5,0.25,0.25,0.1,0.424725379029653
5,2.5,0.05,128,0.1,0.321462295537219
1,5,0.05,128,0.1,0.294398301978734
4,5,0.1,4,0.1,0.413126705834468
4,2.5,0.15,2,0.1,0.427932414555783
2,5,0.05,128,0.1,0.390858133409448
5,2.5,0.25,0.25,0.1,0.426983510024686
1,5,0.25,0.25,0.1,0.222444979104424
2,5,0.25,0.25,0.1,0.376692005522484
3,5,0.25,0.25,0.1,0.40904958962856
4,5,0.25,0.25,0.1,0.425066717110702
5,2.5,0.1,8,0.1,0.404222632821448
1,5,0.1,8,0.1,0.293782640667476
5,2.5,0.15,2,0.1,0.410882276764058
2,5,0.1,8,0.1,0.402435690286015
1,5,0.15,2,0.1,0.28337202550733
2,5,0.15,2,0.1,0.404629130511372
3,5,0.15,2,0.1,0.41417330662805
3,5,0.05,128,0.1,0.4083572933944
5,5,0.05,16,0.1,0.345643068041299
1,-5,0.1,16,0.1,0.294316097004461
2,-5,0.1,16,0.1,-7.48911054661966
3,-5,0.1,16,0.1,-7.44929340590175
4,-5,0.1,16,0.1,-9.66013975016092
5,-5,0.1,16,0.1,-9.35474426577254
1,-2.5,0.1,16,0.1,0.29465207686892
2,-2.5,0.1,16,0.1,-7.03180819745297
3,-2.5,0.1,16,0.1,-6.88475999067025
4,-2.5,0.1,16,0.1,-8.32414917213567
